"core","headspace_vol_mL"
"1",60
"2",60
"3",55
"4",60
"5",50
"6",60
"7",60
"8",60
"9",60
"10",60
"11",60
"12",60
"13",60
"14",60
"15",60
"16",60
"17",60
"18",60
"19",60
"20",58
"21",54
"22",63
"23",60
"24",60
"25",53
"26",56
"27",60
"28",60
"29",60
"30",60
"31",60
"32",60
"33",60
"34",60
"35",60
"36",60
"37",60
"38",60
"39",60
"40",60
"41",60
"42",60
"43",60
"44",60
"45",55
"A1",60
"A2",60
"A3",60
"A4",60
"A5",60
"A6",60
