"Start_date","Start_time","Start_datetime","Stop_date","Stop_time","Stop_datetime","Core","Valve","Mass_g","Headspace, cm","Seq.Program","Initials","Notes1","Notes2","Exclude"
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"S5",5,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"S6",6,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"S7",7,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"G1",8,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"G2",9,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"G3",10,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"G4",11,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"G5",12,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"G6",13,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"G7",14,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"blank",15,,3,,,"glucose",,
2021-02-02,1899-12-30 12:50:00,2021-02-02 12:49:59,2021-02-04,1899-12-30 16:05:00,2021-02-04 16:05:00,"AMBIENT",16,,3,,,"glucose",,
