"core","tc_g","moisture_perc","weoc_target_g","weoc_g","bulk_g","date","initials"
,5,,,,,,
1,5.68,24.3373493975904,4.35180722891566,4.43,59.74,2020-08-19,"SM"
2,5.91,25.062656641604,4.37719298245614,4.41,61.41,2020-08-19,"SM"
3,5.41,24.2738589211618,4.34958506224066,4.38,59.96,2020-08-19,"SM"
4,6.04,24.6049661399549,4.36117381489842,4.4,60.74,2020-08-19,"SM"
5,6.47,25.5506607929515,4.3942731277533,4.44,59.46,2020-08-19,"SM"
6,5.77,54.4715447154471,5.40650406504065,5.58,74.26,2020-08-19,"SM"
7,5.45,50.379746835443,5.26329113924051,5.72,68.93,2020-08-19,"SM"
8,6.33,49.7023809523809,5.23958333333333,5.31,71.47,2020-08-19,"SM"
9,6,49.4152046783626,5.22953216374269,5.82,68.67,2020-08-19,"SM"
10,6.2,49.1954022988506,5.22183908045977,5.37,66.39,2020-08-19,"SM"
11,5.03,2.82828282828282,3.5989898989899,3.64,49.35,,
12,5.56,2.62626262626262,3.59191919191919,3.71,48.41,,
13,5,2.62626262626262,3.59191919191919,3.61,49.89,,
14,5.59,2.00803212851405,3.57028112449799,3.58,48.4,,
15,5.26,2.41448692152918,3.58450704225352,3.73,48.58,,
16,5.12,27.9411764705882,4.47794117647059,4.99,62.05,,
17,5.67,29.2383292383292,4.52334152334152,4.7,61.76,,
18,5.02,28.6031042128603,4.50110864745011,4.84,61.84,,
19,5.33,28.1329923273657,4.4846547314578,4.72,61.67,,
20,5.11,28.9855072463768,4.51449275362319,4.58,60.81,,
21,5.8,19.7278911564626,4.19047619047619,4.23,54.63,2020-08-19,"SM"
22,6.66,19.3939393939394,4.17878787878788,4.33,52.74,2020-08-19,"SM"
23,6.08,19.8329853862213,4.19415448851775,4.19,53.81,2020-08-19,"SM"
24,5.96,19.672131147541,4.18852459016393,4.26,54.45,2020-08-19,"SM"
25,5.35,19.392523364486,4.17873831775701,4.36,54.63,2020-08-19,"SM"
26,5.85,44.7727272727273,5.06704545454545,5.49,62.6,2020-08-19,"SM"
27,6.27,45.49,5.09215,5.18,64.7,2020-08-19,"SM"
28,7,46.039603960396,5.11138613861386,5.53,63.63,2020-08-19,"SM"
29,5.99,45.2574525745258,5.0840108401084,5.36,63.85,2020-08-19,"SM"
30,5.58,45.9016393442623,5.10655737704918,5.15,63.87,2020-08-19,"SM"
31,5.08,31.1557788944723,4.59045226130653,4.67,58.29,,
32,5.18,29.2620865139949,4.52417302798982,4.91,58.62,,
33,5.19,28.5347043701799,4.4987146529563,4.98,58.36,,
34,5.04,30.0469483568075,4.55164319248826,4.94,58.35,,
35,5.17,29.4685990338164,4.53140096618358,4.75,58.75,,
36,5.18,18.1818181818182,4.13636363636364,4.49,59.67,2020-08-19,"SM"
37,5.62,17.7350427350427,4.1207264957265,4.15,58.85,2020-08-19,"SM"
38,5.06,18.7353629976581,4.15573770491803,4.19,60,2020-08-19,"SM"
39,5.33,18.140589569161,4.13492063492064,4.47,59.5,2020-08-19,"SM"
40,5.78,34,4.69,4.72,68.63,2020-08-19,"SM"
41,6.12,36.1111111111111,4.76388888888889,4.82,69.09,2020-08-19,"SM"
42,5.96,34.718826405868,4.71515892420538,5.24,68.7,2020-08-19,"SM"
43,5.63,34.3358395989975,4.70175438596491,4.85,69.2,2020-08-19,"SM"
44,5.12,34.5153664302601,4.7080378250591,4.71,69.43,2020-08-19,"SM"
45,5.08,35.9413202933985,4.75794621026895,5.09,68.95,2020-08-19,"SM"
