"core","weoc_mg_g","d13C_VPDB","R13C"
1,0.078,-15.62,0.0111
2,0.057,3.27,0.0113
3,0.048,-10.73,0.0111
4,0.056,-12.61,0.0111
5,0.059,-18.48,0.011
6,0.062,20.77,0.0115
7,0.065,-20.17,0.011
8,0.062,-6.17,0.0112
9,0.06,-17.9,0.011
10,0.07,7.4,0.0113
11,0.1,32.41,0.0116
12,0.116,12.35,0.0114
13,0.113,16.75,0.0114
14,0.105,8.86,0.0113
15,0.104,11.88,0.0114
16,0.06,-19.31,0.011
17,0.08,-16.33,0.0111
18,0.05,5.42,0.0113
19,0.047,-13.64,0.0111
20,0.063,-16.84,0.011
21,0.083,-27.68,0.0109
22,0.078,-27.75,0.0109
23,0.098,-27.42,0.0109
24,0.097,-27.49,0.0109
25,0.083,-27.36,0.0109
26,0.083,-27.63,0.0109
27,0.062,-27.52,0.0109
28,0.083,-27.61,0.0109
29,0.09,-27.34,0.0109
30,0.105,-27.33,0.0109
31,0.102,-27.56,0.0109
32,0.101,-27.3,0.0109
33,0.101,-27.1,0.0109
34,0.106,-27.12,0.0109
35,0.093,-27.4,0.0109
36,0.027,-27.63,0.0109
37,0.03,-27.67,0.0109
38,0.028,-27.48,0.0109
39,0.028,-27.55,0.0109
40,0.033,-27.51,0.0109
41,0.038,-17.15,0.011
42,0.034,-19.15,0.011
43,0.033,-15.87,0.0111
44,0.038,-18.87,0.011
45,0.033,-17.7,0.011
