"core","weoc_mg_g","d13C_VPDB"
"1",0.078,-15.62
"10",0.07,7.4
"11",0.1,32.41
"12",0.116,12.35
"13",0.113,16.75
"14",0.105,8.86
"15",0.104,11.88
"16",0.06,-19.31
"17",0.08,-16.33
"18",0.05,5.42
"19",0.047,-13.64
"2",0.057,3.27
"20",0.063,-16.84
"21",0.083,-27.68
"22",0.078,-27.75
"23",0.098,-27.42
"24",0.097,-27.49
"25",0.083,-27.36
"26",0.083,-27.63
"27",0.062,-27.52
"28",0.083,-27.61
"29",0.09,-27.34
"3",0.048,-10.73
"30",0.105,-27.33
"31",0.102,-27.56
"32",0.101,-27.3
"33",0.101,-27.1
"34",0.106,-27.12
"35",0.093,-27.4
"36",0.027,-27.63
"37",0.03,-27.67
"38",0.028,-27.48
"39",0.028,-27.55
"4",0.056,-12.61
"40",0.033,-27.51
"41",0.038,-17.15
"42",0.034,-19.15
"43",0.033,-15.87
"44",0.038,-18.87
"45",0.033,-17.7
"5",0.059,-18.48
"6",0.062,20.77
"7",0.065,-20.17
"8",0.062,-6.17
"9",0.06,-17.9
