"core","fm_soil_g","headspace_cm3","od_soil_g"
1,60.3,428,58.8
2,60.4,428,58.9
3,60.7,428,59.2
4,60.7,428,59.2
5,60.1,428,58.6
6,60.6,428,59.1
7,60.7,428,59.2
8,60.5,428,59
9,60.3,428,58.8
10,60.5,428,59
11,60.1,428,58.6
12,60.1,428,58.6
13,60.5,428,59
14,60.5,428,59
15,60.1,428,58.6
16,60.6,428,59.1
17,60.6,428,59.1
18,60.3,428,58.8
19,60.2,428,58.7
20,60.4,428,58.9
21,60.6,428,59.1
22,60.4,428,58.9
23,60.5,428,59
24,60.6,428,59.1
25,60.4,428,58.9
26,60.6,428,59.1
27,60.3,428,58.8
28,60.1,428,58.6
29,60.6,428,59.1
30,60.1,428,58.6
31,60.1,428,58.6
32,60.4,428,58.9
33,60.3,428,58.8
34,60.6,428,59.1
35,60.4,428,58.9
36,60.2,428,58.7
37,60.1,428,58.6
38,60.2,428,58.7
39,60.3,428,58.8
40,60.3,428,58.8
41,60.5,428,59
42,60.7,428,59.2
43,60.4,428,58.9
44,60.3,428,58.8
45,60.1,428,58.6
