"core","totalC_perc","totalC_mg_g","d13C_VPDB"
1,2.72,27.2,-25.54
2,2.48,24.8,-24.29
3,2.57,25.7,-25.43
4,2.45,24.5,-25.08
5,2.67,26.7,-25.24
6,2.74,27.4,-23.19
7,2.73,27.3,-24.95
8,2.64,26.4,-24.05
9,2.59,25.9,-24.51
10,2.53,25.3,-23.28
11,2.5,25,-19.34
12,2.93,29.3,-21.41
13,2.97,29.7,-21.45
14,2.87,28.7,-22.3
15,3.03,30.3,-21.78
16,2.6,26,-25.52
17,2.67,26.7,-25.63
18,2.53,25.3,-23.1
19,2.49,24.9,-24.53
20,2.56,25.6,-25.34
21,2.93,29.3,-26.87
22,2.91,29.1,-27.17
23,2.6,26,-27.18
24,2.66,26.6,-27.08
25,2.81,28.1,-26.8
26,2.67,26.7,-26.87
27,2.68,26.8,-27.01
28,2.72,27.2,-26.78
29,2.75,27.5,-27.04
30,2.76,27.6,-26.88
31,2.78,27.8,-26.83
32,2.7,27,-27.13
33,3.01,30.1,-27.49
34,2.72,27.2,-27.35
35,2.79,27.9,-26.92
36,2.62,26.2,-27
37,2.46,24.6,-27.21
38,2.48,24.8,-27.27
39,2.43,24.3,-27.19
40,2.55,25.5,-27.23
41,2.65,26.5,-24.17
42,2.45,24.5,-24.61
43,2.48,24.8,-24.27
44,2.55,25.5,-24.38
45,2.49,24.9,-24.17
